,cusum
2000-01-01,-0.37822097669337007
2000-01-02,0.0906534285703981
2000-01-03,-1.1279219753515144
2000-01-04,-1.8852075678141809
2000-01-05,-1.1191119924003248
2000-01-06,-2.148538340007372
2000-01-07,-2.308729393376352
2000-01-08,-1.900615661938638
2000-01-09,-1.6167488823577227
2000-01-10,-1.8633366117957342
2000-01-11,-2.4416546933384096
2000-01-12,-3.566873378085181
2000-01-13,-4.485100574737167
2000-01-14,-4.014870804160846
2000-01-15,-3.448478064828305
2000-01-16,-2.4585972562287997
2000-01-17,-1.863075157808461
2000-01-18,-3.0984368195263428
2000-01-19,-1.5767559193125973
2000-01-20,-1.8911123831250642
2000-01-21,-1.2275801726127875
2000-01-22,-1.1249736548319513
2000-01-23,1.5506637775276706
2000-01-24,1.7012419487484938
2000-01-25,2.8798398918875536
2000-01-26,3.1189824132841415
2000-01-27,1.9872158219598017
2000-01-28,0.8086394759834836
2000-01-29,-0.08905372637139342
2000-01-30,-0.8958051884637155
2000-01-31,1.0223645014761997
2000-02-01,0.26530962591433005
2000-02-02,0.36687500902797887
2000-02-03,-0.13768209084256944
2000-02-04,0.04698665034393046
2000-02-05,-0.6957905702448173
2000-02-06,-1.4255068183964126
2000-02-07,0.1581837102498953
2000-02-08,0.07762086152253728
2000-02-09,-1.552480741533286
2000-02-10,-0.973338952033795
2000-02-11,-2.5987868352283554
2000-02-12,-4.072922293432041
2000-02-13,-3.544132507304811
2000-02-14,-4.051189070666972
2000-02-15,-5.868006467661634
2000-02-16,-5.88665088764144
2000-02-17,-6.952169537409209
2000-02-18,-6.48515482212775
2000-02-19,-5.582635662440163
2000-02-20,-5.014901614814006
2000-02-21,-5.729046282756825
2000-02-22,-5.714387659554787
2000-02-23,-6.097223092515792
2000-02-24,-4.90716420733255
2000-02-25,-3.844505398672834
2000-02-26,-4.94335556335542
2000-02-27,-4.4250489886658375
2000-02-28,-5.906222827858136
2000-02-29,-6.810936222966751
2000-03-01,-5.790923461901366
2000-03-02,-6.976737581924843
2000-03-03,-6.51348946049409
2000-03-04,-5.8129870012398825
2000-03-05,-5.791684693360436
2000-03-06,-5.947782729137959
2000-03-07,-4.972868854772873
2000-03-08,-6.324641123084224
2000-03-09,-7.519979861854212
2000-03-10,-8.144731183306703
2000-03-11,-8.917321208669815
2000-03-12,-10.374685458760686
2000-03-13,-10.47330771586101
2000-03-14,-10.3107092229828
2000-03-15,-8.21803975793086
2000-03-16,-8.753726464465553
2000-03-17,-8.468102454639332
2000-03-18,-7.450172140431046
2000-03-19,-6.407408800511762
2000-03-20,-8.297966622081015
