,clmno,pol_year,region,pol_no,usage_type,coverage,ultloss,acc_year
0,CLM2011100000008,2011,region_1,2011OA00003,private,PD,2326.4354927212953,2011
1,CLM2011200000006,2011,region_1,2011OA00009,private,PD,1300.6310228065959,2011
2,CLM2011100000028,2011,region_1,2011OA00012,private,PD,2501.3269514794824,2011
3,CLM2011100000110,2011,region_1,2011OA00056,private,PD,4573.5442648740855,2011
4,CLM2011100000127,2011,region_1,2011OA00069,private,PD,6128.496465400036,2011
5,CLM2011100000141,2011,region_1,2011OA00073,private,PD,2192.4338940521106,2011
6,CLM2011100000196,2011,region_1,2011OA00101,private,PD,1750.7360989835167,2011
7,CLM2011300000025,2011,region_1,2011OA00170,private,PD,4130.7460832338365,2011
8,CLM2011100000609,2011,region_1,2011OA00268,private,PD,3510.4126581788423,2011
9,CLM2011200000175,2011,region_1,2011OA00268,private,PD,949.016099195513,2011
10,CLM2011200000196,2011,region_1,2011OA00312,private,PD,1251.9798673340852,2011
11,CLM2011100000710,2011,region_1,2011OA00315,private,PD,762.5038375851859,2011
12,CLM2011100000787,2011,region_1,2011OA00349,private,PD,6917.4035473778995,2011
13,CLM2011100000823,2011,region_1,2011OA00362,private,PD,3144.3144354397746,2011
14,CLM2011100000843,2011,region_1,2011OA00373,private,PD,716.8134017320078,2011
15,CLM2011200000226,2011,region_1,2011OA00373,private,PD,2662.4344423907,2011
16,CLM2011100000989,2011,region_1,2011OA00429,private,PD,880.9668429681572,2011
17,CLM2011200000295,2011,region_1,2011OA00461,private,PD,3335.411487162914,2011
18,CLM2011400000010,2011,region_1,2011OA00461,private,PD,1192.8024149933597,2011
19,CLM2011100001043,2011,region_1,2011OA00463,private,PD,17070.365700673738,2011
20,CLM2011100001077,2011,region_1,2011OA00485,private,PD,4457.4122755699045,2011
21,CLM2011200000314,2011,region_1,2011OA00489,private,PD,359.5257119833049,2011
22,CLM2011100001108,2011,region_1,2011OA00496,private,PD,4407.1736506275,2011
23,CLM2011100001198,2011,region_1,2011OA00528,private,PD,885.8951788350307,2011
24,CLM2011200000350,2011,region_1,2011OA00537,private,PD,3504.790833875398,2011
25,CLM2011100001270,2011,region_1,2011OA00553,private,PD,1214.7314335399958,2011
26,CLM2011100001295,2011,region_1,2011OA00570,private,PD,5811.112601843239,2011
27,CLM2011100001306,2011,region_1,2011OA00575,private,PD,2490.522386815591,2011
28,CLM2011200000387,2011,region_1,2011OA00594,private,PD,1420.5051390537417,2011
29,CLM2011100001481,2011,region_1,2011OA00629,private,PD,1844.7641544604921,2011
30,CLM2011100001622,2011,region_1,2011OA00688,private,PD,15.009066093399191,2011
31,CLM2011100001804,2011,region_1,2011OA00755,private,PD,4836.736107972502,2011
32,CLM2011200000541,2011,region_1,2011OA00770,private,PD,707.0588831505677,2011
33,CLM2011100001852,2011,region_1,2011OA00775,private,PD,498.77917674783475,2011
34,CLM2011100001888,2011,region_1,2011OA00784,private,PD,646.4084470284096,2011
35,CLM2011100001925,2011,region_1,2011OA00797,private,PD,3446.409473963003,2011
36,CLM2011100002068,2011,region_1,2011OA00858,private,PD,1371.1095490170146,2011
